Bench;SpeedUp
;ip_stride_no;ipcp_isca2020_ipcp_isca2020;ipcp_isca2020_no;mlop_dpc3_bingo_dpc3;mlop_dpc3_no;mlop_dpc3_ppf;no_no;vberti_bingo_dpc3;vberti_no;vberti_ppf;
GemsFDTD_109B.trace.xz;1.0;1.5040789608446479;1.5365703776601194;1.6216184924766328;1.6129351151326776;1.6264344271420113;0.9955848365966505;1.59546816762926;1.5209469779620337;1.6181340090039946;
bwaves_1609B.trace.xz;1.0;1.0848396817580115;1.0832990724718872;1.0822091252863228;1.0808322904477705;1.082617996665778;0.6982201670725261;1.0924727004938082;1.090838344454936;1.092740387004667;
cactusADM_1039B.trace.xz;1.0;1.4377339896200998;1.378777978329682;1.3932926992560537;1.3695522931652269;1.4334759810826587;0.9503165387478776;1.389797918664003;1.0191449704617395;1.4277450765102537;
calculix_2655B.trace.xz;1.0;1.0048164481705024;1.0045987817627968;0.9859489387025924;0.9859489387025924;1.0026409418934894;0.9859489387025924;1.0020342546720127;1.0020342546720127;1.002077093273529;
gcc_13B.trace.xz;1.0;1.2225266160952983;1.1983997279348555;1.4948373749492239;1.3067723438223264;1.447948647703978;0.8501941298166393;1.495947362951907;1.232426764408589;1.4273501043861057;
gobmk_60B.trace.xz;1.0;1.0044953637522198;1.004187745416099;1.0058990339750236;1.0049244784059683;1.0053794433400631;0.998947893589906;1.004885702985449;1.0036474745568615;1.0050563148357343;
hmmer_397B.trace.xz;1.0;0.9992847643633844;0.9998860093204144;0.9984063655971659;0.9982711413596183;0.9996893195203451;0.9969580134330193;1.0001553402398276;0.999978766442038;1.0006861791888781;
namd_400B.trace.xz;1.0;1.0008319709111702;1.000597455620773;0.9998012203729016;0.9998012203729016;0.9998235551624632;0.9988698596481824;1.000071471326597;1.0000335021843423;1.0005315679915663;
omnetpp_4B.trace.xz;1.0;0.8916175076816184;0.9102270925875334;0.8611929022183098;0.9409721168213109;0.9251349974872423;0.9735721970946449;0.8987173130693756;0.9544735519601196;0.9357745870813897;
sphinx3_883B.trace.xz;1.0;1.1515295821738074;1.1513592703377962;1.2634046162775123;1.220168559112262;1.2716407643859762;0.836338593158094;1.2629664353402021;1.1016133326057875;1.2530701602088719;
wrf_1212B.trace.xz;1.0;1.003277756838198;1.003200795660179;1.006107560153054;1.0060779596999698;1.0061391339696772;0.9958855370212867;1.0001164284487982;0.9962900765467717;1.0058727298919188;
